r_nsa,r_necklen,r_neckhead,r_headoff,r_lt,r_shaftax,r_headr
33.653238872604774,44.448868952872395,0.9315714725112373,-47.08453774486385,15.652901785714285,3.633566977948167,23.85692899818603
37.2073001443762,45.661587441049996,0.9529844490972211,48.07387844823979,4.970982142857142,2.8579506964450974,23.957152440580757
25.64397427077702,29.036175435953446,0.5554053536097628,-13.47762038169562,39.3,24.95127579202765,26.139625092950357
34.8290225395558,37.49863694781521,0.7275051137338503,37.270161598358,31.724999999999998,13.418398944055571,25.772077913897434
23.744389131722464,40.6631174392706,0.8508790548506694,39.66650740563782,6.890625,7.141861855072232,23.89476930208785
26.619212121639055,43.59033438861438,0.9153583490876045,-41.369197247352936,13.091517857142856,0.18995212971676775,23.810529740654914
25.430915843966023,47.71849182274841,0.9226839814373057,47.38131957733592,15.465306122448975,6.974493462736526,25.85852403572413
35.337563204277025,43.303092275058354,0.7938495235491997,-52.28049005740908,10.24897959183674,0.10679091602838331,27.274118702909693
27.50052545923195,47.28891386704166,0.9378571680680067,37.95445161238619,22.353383458646615,6.626872905449765,25.211149137164032
9.385414792631895,32.42631193826175,0.5873170767007944,5.25639178222241,54.43984962406015,28.225929400618288,27.60545642603643
18.24326658333411,49.0164302396768,0.9755947964620735,-40.91991049491042,0.8337662337662379,0.315485593985535,25.121305698549985
25.484805555012716,54.64624671469832,1.079366888863776,45.618673218673216,0.1090909090909122,4.445607964730294,25.314027731674784
40.93267136126676,24.32378018819188,0.5377157842607816,-45.98650698168945,19.15714285714286,1.441729824869175,22.617692189964917
19.05806495140423,62.73579696768099,1.2985021288476097,-13.072216875573087,39.81428571428572,19.5298274269487,24.156986567036874
22.961431969129038,32.30029959579916,0.578637271034005,28.613600274623035,37.53683035714286,17.930415859737145,27.910662873547388
30.83576912283223,38.343185676141545,0.7273775060514656,-40.00027907437554,29.892857142857146,8.030647684539785,26.357142857142858
7.519885850209941,26.581470323724858,0.514774880736562,-7.347566459580823,58.00375939849625,37.767337766169305,25.818538664601263
7.135555419277812,27.894619842982998,0.5382069417964188,0.16089641862371656,40.69172932330827,27.816721068256076,25.91439990524534
7.232568963305808,68.7997396026893,1.1700635986851922,-4.778205941224763,37.62857142857143,10.94212336399224,29.4
20.330813152627634,66.16334159398062,1.1623714280263016,-20.447503876876386,41.85,22.389677968736432,28.46049894151541
22.85852963472362,29.225926339463765,0.5940228930785318,-20.37370672966687,40.08857142857143,20.25874876929272,24.599999999999998
28.005214539598843,29.336901637154604,0.6036859587711543,34.09226007665972,31.76571428571429,15.687185381466826,24.298148077579903
23.630857602911814,34.79203866514634,0.7190080330969736,-42.65051290149822,10.824489795918362,5.31128008421183,24.194471454850834
29.31398810434287,42.68800189599856,0.8526297476445559,46.060562314899975,7.771428571428578,3.365034270548708,25.033141298392938
11.473192984473128,27.026070251598263,0.4993742920784218,16.546414534217238,1.7263157894736842,39.707215363316244,27.059933481071234
14.762868486996638,44.85634584123006,0.7819870179718151,30.34809055809055,13.792207792207785,17.540714192467576,28.681004166521085
