foreign_count,foreign_area,foreign_max_area,foreign_compactness,foreign_top,foreign_peak_rel,foreign_asym,foreign_elong_max,foreign_elong_count,foreign_area_left,foreign_area_right,image_uid
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2.643.5.1.13.13.12.2.77.8252.02030508140000071310150302011113
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2.643.5.1.13.13.12.2.77.8252.09070705131210061514041509120513
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2.643.5.1.13.13.12.2.77.8252.09060004140611120111091509030603
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2.643.5.1.13.13.12.2.77.8252.12120911020011140507050515090906
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2.643.5.1.13.13.12.2.77.8252.11000605051111050207041006140905
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2.643.5.1.13.13.12.2.77.8252.00131503020212110600101502020700
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2.643.5.1.13.13.12.2.77.8252.05100110120015150515030506140402
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2.643.5.1.13.13.12.2.77.8252.12051101030200021506031210090702
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2.643.5.1.13.13.12.2.77.8252.06081211090913150712130913130401
1.0,0.0006354166666666666,0.0006354166666666666,0.6777777777777778,0.06890368852459017,0.8619801217291553,1.0,1.7140090495466798,0.0,0.0,0.0006354166666666666,1.2.643.5.1.13.13.12.2.77.8252.15080409060108110106110204020115
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2.643.5.1.13.13.12.2.77.8252.13151303131009131214000609090104
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2.643.5.1.13.13.12.2.77.8252.06120903051105150112061201080014
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2.643.5.1.13.13.12.2.77.8252.07151108041411120004040810151209
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2.643.5.1.13.13.12.2.77.8252.05020106091400040809110708040301
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2.643.5.1.13.13.12.2.77.8252.15140601101305061400021505010802
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2.643.5.1.13.13.12.2.77.8252.11150104101400000200001411070008
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2.643.5.1.13.13.12.2.77.8252.02031303080313100507120501150506
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2.643.5.1.13.13.12.2.77.8252.02090003020511130407030106110206
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2.643.5.1.13.13.12.2.77.8252.13090607110001000310151006050113
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2.643.5.1.13.13.12.2.77.8252.04040803080402061202041005000304
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2.643.5.1.13.13.12.2.77.8252.14121200111500000012151207021305
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2.643.5.1.13.13.12.2.77.8252.12060607091105150404131215110908
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2.643.5.1.13.13.12.2.77.8252.04060811050000140014040410080212
3.0,0.0010520833333333333,0.00053125,0.8,0.04921874999999998,0.8610350029653611,0.009900990099009901,1.597236648815628,0.0,0.0005208333333333333,0.00053125,1.2.643.5.1.13.13.12.2.77.8252.09030712140506070904071003000708
2.0,0.0005152471083070452,0.0003470031545741325,0.8888888888888888,0.9682630723640188,0.844804339080687,1.0,4.903905851401593,1.0,0.0005152471083070452,0.0,1.2.643.5.1.13.13.12.2.77.8252.02050314081501100100131400110412
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2.643.5.1.13.13.12.2.77.8252.14140312010015010504081306061203
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2.643.5.1.13.13.12.2.77.8252.03131510081105080011060404010511
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2.643.5.1.13.13.12.2.77.8252.05060902130204131205041207051405
1.0,0.0001845444059976932,0.0001845444059976932,0.8,0.9729671280276817,0.8022300469483568,1.0,1.337741648225531,0.0,0.0001845444059976932,0.0,1.2.643.5.1.13.13.12.2.77.8252.01100509051301061200120505020711
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2.643.5.1.13.13.12.2.77.8252.04081012050615111107130109120010
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2.643.5.1.13.13.12.2.77.8252.02081511091502140105000012140914
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2.643.5.1.13.13.12.2.77.8252.14021109030605071205090308080911
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2.643.5.1.13.13.12.2.77.8252.01100715050305071000110707040014
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2.643.5.1.13.13.12.2.77.8252.03000804151513141409051310151514
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2.643.5.1.13.13.12.2.77.8252.07040802010906150312000007110303
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2.643.5.1.13.13.12.2.77.8252.09091111090903031309150614110215
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2.643.5.1.13.13.12.2.77.8252.06130104100900080002100912090901
3.0,0.003071705426356589,0.002180232558139535,0.7222222222222222,0.09147286821705414,0.8607929246541162,0.583596214511041,5.625751651097497,2.0,0.0006395348837209302,0.002432170542635659,1.2.643.5.1.13.13.12.2.77.8252.07051313070907070603030815070904
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2.643.5.1.13.13.12.2.77.8252.07071507091013150605060411110414
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2.643.5.1.13.13.12.2.77.8252.06120514140811101106020900110711
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2.643.5.1.13.13.12.2.77.8252.12020806150405080200131300151004
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2.643.5.1.13.13.12.2.77.8252.09091502110711081102050610090100
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2.643.5.1.13.13.12.2.77.8252.09130714090405151215050914040809
2.0,0.0012302839116719244,0.0009253417455310199,0.8380952380952381,0.9916833954688844,0.8928642439529886,1.0,2.324582894971043,0.0,0.0012302839116719244,0.0,1.2.643.5.1.13.13.12.2.77.8252.07090311111312140315080706100515
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2.643.5.1.13.13.12.2.77.8252.14151108130201081305130506031009
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2.643.5.1.13.13.12.2.77.8252.05051104100602100505120514140315
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2.643.5.1.13.13.12.2.77.8252.10040508121311001415130412050515
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2.643.5.1.13.13.12.2.77.8252.05051100060005040907000403081502
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2.643.5.1.13.13.12.2.77.8252.12101514000107101207120412120213
